id,category,issued_date,address
1,other,2018-01-18,toronto
3,other,2018-03-08,mississauga
5,other,2020-07-21,toronto
6,other,2021-08-30,toronto
8,other,2022-06-30,milton
9,other,2019-07-26,toronto
12,other,2021-11-03,toronto
96,other,2019-04-16,toronto
98,other,2019-11-25,toronto
99,other,2020-01-09,toronto
102,other,2020-01-08,toronto
108,other,2019-05-02,toronto
109,other,2020-08-27,toronto
110,other,2021-04-06,toronto
111,other,2019-09-17,toronto
113,other,2021-10-25,toronto
121,other,2018-03-05,toronto
122,other,2019-06-20,toronto
123,other,2019-06-20,toronto
124,other,2019-12-20,toronto
125,other,2022-01-27,toronto
126,other,2022-01-11,toronto
127,other,2022-04-12,toronto
128,other,2022-11-19,toronto
129,other,2023-03-15,toronto
130,other,2023-03-28,caledon
131,other,2023-05-30,toronto
132,other,2023-09-13,toronto
133,other,2023-11-04,toronto
290,other,2018-06-07,bradford
293,other,2018-09-10,toronto
299,other,2018-10-30,toronto
303,other,2019-09-16,whitby
305,other,2019-02-13,toronto
309,other,2018-02-22,oakville
327,other,2018-05-18,markham
328,other,2019-05-27,brampton
342,other,2019-12-10,oakville
343,other,2018-12-21,toronto
344,other,2020-01-25,toronto
346,other,2019-09-10,toronto
355,other,2022-04-13,toronto
359,other,2021-05-20,mississauga
360,other,2021-06-08,toronto
361,other,2022-06-14,concord
362,other,2022-12-11,toronto
364,other,2019-12-09,king city
365,other,2020-01-06,toronto
366,other,2020-02-12,toronto
367,other,2019-12-17,toronto
368,other,2019-12-27,toronto
369,other,2019-12-30,woodbridge
370,other,2019-12-23,maple
371,other,2020-01-03,toronto
372,other,2020-01-15,toronto
373,other,2020-01-16,toronto
374,other,2020-01-10,toronto
375,other,2019-12-16,toronto
376,other,2020-01-14,toronto
377,other,2020-01-03,maple
378,other,2020-01-23,toronto
379,other,2020-01-29,toronto
380,other,2020-01-30,markham
381,other,2020-02-07,toronto
382,other,2019-12-12,toronto
383,other,2020-02-11,toronto
384,other,2020-02-13,richmond hill
385,other,2020-02-14,toronto
386,other,2020-02-25,milton
387,other,2020-02-24,toronto
388,other,2020-03-04,toronto
389,other,2020-02-24,thornhill
390,other,2019-12-10,toronto
391,other,2019-12-17,toronto
392,other,2019-12-23,mississauga
393,other,2020-01-03,toronto
394,other,2020-01-23,toronto
395,other,2020-02-12,toronto
396,other,2022-01-11,toronto
397,other,2023-05-16,ajax
398,other,2023-02-14,kleinburg
525,other,2018-04-20,toronto
528,other,2018-08-27,toronto
531,other,2018-05-23,toronto
532,other,2018-07-31,toronto
539,other,2020-09-02,woodbridge
540,other,2018-09-13,toronto
541,other,2018-10-22,toronto
545,other,2018-02-06,toronto
546,other,2018-12-13,thornhill
548,other,2018-07-24,toronto
550,other,2021-06-26,brampton
551,other,2019-08-08,toronto
552,other,2019-08-30,concord
553,other,2020-10-08,ajax
556,other,2022-01-19,toronto
558,other,2022-09-16,toronto
559,other,2018-09-19,toronto
580,other,2018-02-14,toronto
581,other,2018-05-04,mississauga
582,other,2018-06-21,toronto
583,other,2018-10-09,toronto
584,other,2018-10-29,toronto
585,other,2018-11-01,toronto
586,other,2019-04-08,woodbridge
587,other,2019-06-13,toronto
588,other,2019-09-04,toronto
589,other,2020-01-31,toronto
590,other,2020-02-14,toronto
591,other,2020-07-17,hagersville
592,other,2020-08-05,toronto
593,other,2021-10-05,toronto
594,other,2022-03-05,toronto
595,other,2022-09-09,owen sound
596,other,2022-09-09,toronto
597,other,2022-10-12,burlington
598,other,2022-10-07,toronto
599,other,2023-05-04,markham
600,other,2022-11-04,toronto
601,other,2022-11-24,toronto
602,other,2022-12-21,toronto
603,other,2023-01-06,toronto
604,other,2023-01-14,toronto
605,other,2023-05-24,toronto
606,other,2023-05-26,toronto
607,other,2023-09-08,toronto
608,other,2023-11-01,toronto
609,other,2023-11-23,toronto
610,other,2023-12-23,toronto
611,other,2020-12-18,toronto
612,other,2021-06-04,toronto
613,other,2022-06-01,brampton
1108,other,2018-04-17,toronto
1115,other,2018-07-31,ajax
1119,other,2018-11-23,toronto
1121,other,2018-01-12,thornhill
1123,other,2019-04-26,toronto
1128,other,2019-02-28,toronto
1130,other,2019-05-21,markham
1134,other,2018-04-19,toronto
1135,other,2019-05-08,toronto
1136,other,2019-03-29,richmond hill
1137,other,2019-08-02,toronto
1138,other,2019-07-23,mississauga
1140,other,2019-08-20,toronto
1144,other,2019-07-26,toronto
1146,other,2018-10-19,brampton
1150,other,2018-11-28,toronto
1152,other,2021-03-03,bolton
1156,other,2020-08-13,toronto
1157,other,2020-08-27,toronto
1164,other,2021-11-10,toronto
1165,other,2019-07-25,toronto
1172,other,2020-09-24,toronto
1174,other,2018-01-04,toronto
1176,other,2019-01-18,toronto
1177,other,2018-02-01,brampton
1178,other,2020-12-04,richmond hill
1180,other,2020-12-21,woodbridge
1181,other,2020-12-21,toronto
1182,other,2021-03-03,brampton
1183,other,2021-03-24,bolton
1185,other,2019-04-17,toronto
1186,other,2021-09-24,toronto
1187,other,2021-06-17,mississauga
1191,other,2019-08-29,toronto
1192,other,2020-09-14,toronto
1193,other,2019-09-24,toronto
1195,other,2021-11-25,toronto
1197,other,2023-01-26,toronto
1198,other,2022-02-07,brampton
1199,other,2022-02-17,toronto
1201,other,2021-02-25,brampton
1205,other,2021-03-31,toronto
1206,other,2018-04-18,mississauga
1208,other,2019-07-12,toronto
1209,other,2021-07-14,markham
1210,other,2022-07-14,toronto
1212,other,2019-12-23,toronto
1213,other,2022-08-23,thornhill
1214,other,2022-08-26,toronto
1215,other,2021-09-02,toronto
1216,other,2021-09-15,toronto
1217,other,2022-09-22,brampton
1218,other,2018-10-19,toronto
1276,other,2018-06-18,toronto
1277,other,2018-06-13,toronto
1278,other,2018-06-29,toronto
1279,other,2018-09-17,toronto
1280,other,2018-10-04,toronto
1281,other,2019-01-16,toronto
1282,other,2019-04-12,toronto
1283,other,2019-03-25,toronto
1284,other,2019-10-16,toronto
1285,other,2019-12-23,toronto
1286,other,2020-01-02,toronto
1287,other,2020-02-12,toronto
1288,other,2020-03-09,brampton
1289,other,2020-09-03,toronto
1290,other,2020-09-10,toronto
1291,other,2020-10-27,toronto
1292,other,2020-10-20,thornhill
1293,other,2020-11-23,toronto
1294,other,2020-12-14,toronto
1295,other,2020-12-30,toronto
1296,other,2021-02-03,toronto
1297,other,2021-02-17,toronto
1298,other,2021-02-12,toronto
1299,other,2021-02-24,toronto
1300,other,2021-03-03,toronto
1301,other,2021-03-25,toronto
1302,other,2021-03-12,toronto
1303,other,2021-04-25,toronto
1304,other,2021-05-06,toronto
1305,other,2021-06-29,markham
1306,other,2021-05-31,toronto
1307,other,2021-06-16,toronto
1308,other,2021-06-21,toronto
1309,other,2021-07-14,toronto
1310,other,2021-08-17,toronto
1311,other,2021-09-02,brampton
1312,other,2021-09-17,pickering
1313,other,2021-09-24,concord
1314,other,2021-09-29,toronto
1315,other,2021-10-08,toronto
1316,other,2022-01-27,toronto
1317,other,2021-10-25,toronto
1318,other,2021-12-09,toronto
1319,other,2022-02-01,toronto
1320,other,2022-02-10,toronto
1321,other,2022-01-26,toronto
1322,other,2022-03-03,toronto
1323,other,2022-02-17,markham
1324,other,2022-03-16,woodbridge
1325,other,2022-03-23,cambridge
1326,other,2022-04-06,toronto
1327,other,2022-04-07,richmond hill
1328,other,2022-04-14,richmond hill
1329,other,2022-05-19,toronto
1330,other,2022-05-26,toronto
1331,other,2022-06-06,brampton
1332,other,2022-06-14,toronto
1333,other,2022-06-23,toronto
1334,other,2022-06-29,toronto
1335,other,2022-07-06,toronto
1336,other,2022-07-19,toronto
1337,other,2022-08-30,bolton
1338,other,2022-08-19,toronto
1339,other,2023-05-15,toronto
1340,other,2022-10-20,toronto
1341,other,2022-10-27,woodbridge
1342,other,2022-11-03,toronto
1343,other,2022-11-14,toronto
1344,other,2022-11-16,toronto
1345,other,2022-11-17,thornhill
1346,other,2022-11-17,toronto
1347,other,2022-12-21,ajax
1348,other,2023-01-06,ajax
1349,other,2023-01-18,mississauga
1350,other,2023-02-15,toronto
1351,other,2023-02-27,toronto
1352,other,2023-02-28,toronto
1353,other,2023-03-01,toronto
1354,other,2023-03-09,toronto
1355,other,2023-03-20,toronto
1356,other,2023-03-23,toronto
1357,other,2023-03-23,brampton
